movie,movie_id,guest_names,guest_ids,count
Evil Town,200639,"['Robert Walker, Jr.', 'Richard Hale']","[15626, 16055]",2
The Ceremony,170315,"['Robert Walker, Jr.']",[15626],1
The Hook,217890,"['Robert Walker, Jr.']",[15626],1
Gone With the West,68089,"['Robert Walker, Jr.']",[15626],1
Fatal Charm,182497,"['Robert Walker, Jr.']",[15626],1
Olivia,224626,"['Robert Walker, Jr.']",[15626],1
Dr. Shagetz,446297,"['Robert Walker, Jr.', 'Richard Hale']","[15626, 16055]",2
Hex,161324,"['Robert Walker, Jr.']",[15626],1
Easy Rider,624,"['Robert Walker, Jr.', 'Sabrina Scharf']","[15626, 131285]",2
Agilok & Blubbo,459173,"['Robert Walker, Jr.']",[15626],1
M*A*S*H,651,"['Sally Kellerman', 'Fred Williamson']","[9805, 9811]",2
The Player,10403,['Sally Kellerman'],[9805],1
Prêt-à-Porter,3586,['Sally Kellerman'],[9805],1
Delgo,20542,['Sally Kellerman'],[9805],1
You Can't Hurry Love,20780,['Sally Kellerman'],[9805],1
A Little Romance,20813,['Sally Kellerman'],[9805],1
Secret Weapons,5684,['Sally Kellerman'],[9805],1
Moving Violations,31462,['Sally Kellerman'],[9805],1
Foxes,32020,['Sally Kellerman'],[9805],1
Brewster McCloud,26525,"['Sally Kellerman', 'William Windom']","[9805, 8499]",2
The Boston Strangler,26690,"['Sally Kellerman', 'William Marshall', 'Jeff Corey']","[9805, 16028, 9596]",3
Meatballs III: Summer Job,40772,['Sally Kellerman'],[9805],1
Serial,41034,['Sally Kellerman'],[9805],1
Last of the Red Hot Lovers,42483,['Sally Kellerman'],[9805],1
American Virgin,60005,['Sally Kellerman'],[9805],1
The Mouse and His Child,37049,['Sally Kellerman'],[9805],1
Back to School,15596,['Sally Kellerman'],[9805],1
Doppelganger,18773,['Sally Kellerman'],[9805],1
Women of the Night,80847,['Sally Kellerman'],[9805],1
Kill Shot,52610,['Sally Kellerman'],[9805],1
That's Life!,52961,['Sally Kellerman'],[9805],1
The April Fools,90563,['Sally Kellerman'],[9805],1
Welcome to L.A.,86241,['Sally Kellerman'],[9805],1
The Noble Horse,59901,['Sally Kellerman'],[9805],1
