name,id_num,movies,movie_ids
Susan Denberg,15645,"['Frankenstein Created Woman', 'An American Dream']","[3104, 131861]"
Karen Steele,15644,"['Ride Lonesome', 'The Rise and Fall of Legs Diamond', 'Cyborg 2087', 'Marty', 'Decision at Sundown', 'The Sharkfighters', 'Westbound', 'Toward the Unknown', '40 Pounds of Trouble', 'Bailout at 43,000', 'The Trap on Cougar Mountain', 'Man Crazy']","[27644, 43046, 61031, 15919, 39557, 88032, 110139, 148021, 42990, 287790, 371222, 337932]"
Roger C. Carmel,122004,"['The Silencers', 'Gambit', 'Breezy', 'Alvarez Kelly', 'My Dog the Thief', 'Goodbye Charlie', 'The Venetian Affair', 'The Art of Love', 'Hardly Working', 'A House Is Not a Home', 'Skullduggery', 'Myra Breckinridge', 'Thunder and Lightning', 'Anatomy of a Seduction', 'The Transformers: The Movie', 'The Transformers: The Movie']","[21779, 28270, 40374, 60285, 64277, 52906, 79367, 105465, 130724, 216661, 273554, 40973, 84080, 193588, 1857, 1857]"
Budd Albright,1461992,[],[]
Vince Deadrick Sr.,1402879,"['Indiana Jones and the Last Crusade', 'Dirty Harry', 'Romancing the Stone']","[89, 984, 9326]"
Ted Cassidy,9600,"['Butch Cassidy and the Sundance Kid', 'Flash Gordon: The Greatest Adventure of All', 'The Slams', 'Poor Pretty Eddie', ""Mackenna's Gold"", 'Jack and the Beanstalk', 'Planet Earth', 'Genesis II', 'Thunder County', 'The Limit', 'Halloween with the New Addams Family', 'The Incredible Hulk - Death in the Family', 'The Intruder']","[642, 3679, 42711, 63317, 18118, 72762, 54805, 56769, 260402, 365928, 107596, 166890, 469069]"
Michael Strong,15650,"['Detective Story', 'Patton', 'The Great Santini', 'Point Blank', 'Dead Heat on a Merry-Go-Round', 'Queen of the Stardust Ballroom', 'Life, Liberty and Pursuit on the Planet of the Apes']","[20853, 11202, 21887, 26039, 68979, 263786, 385902]"
Sherry Jackson,119245,"['Trouble Along the Way', 'The Adventures of Huckleberry Finn', 'The Breaking Point', 'The Miracle of Our Lady of Fatima', 'Girl on the Late, Late Show', 'Bare Knuckles', 'Gunn', 'The Mini-Skirt Mob', 'Wild on the Beach', 'The Lion and the Horse', 'The Monitors', 'Come Next Spring', 'M', 'Ma and Pa Kettle Back on the Farm', 'Curse of the Moon Child', 'Covered Wagon Raid', 'Louisa', 'Something to Live For', ""Daniel in the Lions' Den""]","[40686, 43041, 37954, 49616, 54084, 86603, 86903, 79969, 118993, 207178, 210940, 151219, 36373, 51412, 262305, 203260, 99492, 103544, 403551]"
Harry Basch,1212973,"[""The Gang That Couldn't Shoot Straight"", 'Swashbuckler']","[59226, 42242]"
David L. Ross,1776386,[],[]
John Megna,8490,"['To Kill a Mockingbird', 'Hush... Hush, Sweet Charlotte', 'Go Tell the Spartans', 'The Godfather: Part II', 'Blindfold', 'I Want to Keep My Baby!']","[595, 10299, 32052, 240, 169066, 412513]"
Stephen McEveety,8747,['Tales of William Wallace'],[142466]
Michael J. Pollard,6451,"['Bonnie and Clyde', 'House of 1000 Corpses', 'Roxanne', 'Tango & Cash', 'Scrooged', 'Hannibal Brooks', 'Split Second', 'Next of Kin', 'Sleepaway Camp III: Teenage Wasteland', 'Enter Laughing', 'The Wild Angels', 'Little Fauss and Big Halsy', 'Caprice', 'Les pétroleuses', 'Melvin and Howard', 'Mad Dog Time', ""I quattro dell'apocalisse"", 'Motorama', 'American Gothic', 'Fast Food', 'Dirty Little Billy', 'Backflash', 'Night Visitor', ""Revolution! The Making of 'Bonnie and Clyde'"", 'Why Me?', 'The American Way', 'The Art Of Dying', 'Sunday in the Country', 'The Stripper', 'Between the Lines', 'Summer Magic', 'Working Tra$h', 'Heartstopper', 'The Unknown Cyclist', 'Jigsaw', 'Dark Angel', 'Skeeter', 'Arizona Dream', 'Toxic Crusaders: The Movie', 'The Smugglers', 'Morbo', 'Heated Vengeance', 'The New Cinema', 'Beautiful Darling', 'Stir', 'The Arrival', 'Merchants of Venus', 'The Patriot', 'Out of the Black', 'America']","[475, 2662, 11584, 9618, 9647, 26972, 13006, 27418, 34312, 42693, 42725, 44721, 44769, 64345, 38772, 66034, 48855, 49410, 51442, 71847, 56966, 58918, 89535, 142461, 142946, 155665, 119205, 163549, 170343, 175924, 37204, 258381, 267414, 273341, 284467, 19384, 87517, 11044, 182774, 382603, 94409, 188646, 400639, 226247, 416862, 132369, 310035, 109114, 291433, 390185]"
Kim Darby,15655,"['Halloween: The Curse of Michael Myers', ""Don't Be Afraid of the Dark"", 'Better Off Dead...', 'Teen Wolf Too', 'True Grit', 'The One and Only', 'The Strawberry Statement', 'The Story of Pretty Boy Floyd', 'Flatbed Annie & Sweetie Pie: Lady Truckers', 'Norwood', 'Generation', 'The Restless Ones', 'The Grissom Gang', 'The People', 'The Last Best Sunday', 'Summer Girl', 'Embassy', 'The Capture of Grizzly Adams', 'The Last Convertible', 'Ironside', ""Mockingbird Don't Sing"", 'Enola Gay: The Men, the Mission, the Atomic Bomb', 'The Evil Within', 'Cold Ones', ""Bus Riley's Back In Town""]","[10987, 26015, 13667, 15582, 17529, 47901, 51956, 72322, 94482, 86373, 86941, 86943, 79645, 252965, 262081, 348423, 329534, 357678, 358884, 377718, 27967, 170881, 444193, 483969, 146916]"
Morgan Woodward,13869,"['Cool Hand Luke', 'Which Way Is Up?', 'The Killing of a Chinese Bookie', 'Battle Beyond the Stars', 'Girls Just Want to Have Fun', 'One Little Indian', 'Death of a Gunfighter', 'Speedtrap', 'Yuma', 'Final Chapter: Walking Tall', 'Gunpoint', 'A Small Town in Texas', 'The Hatfields and the McCoys', 'Deadly Game', 'Supervan', 'The Midnight Man', 'Ride in a Pink Car', 'The Quest', 'Treachery and Greed on the Planet of the Apes', 'Westward Ho, The Wagons!', 'The Last Day', 'The Gun Hawk']","[903, 23312, 32040, 14460, 16263, 45827, 74333, 91655, 76837, 86651, 167769, 199715, 252694, 185453, 73273, 116138, 341168, 375207, 385903, 64862, 282662, 140842]"
Susanne Wasson,1729741,['Stitches'],[84724]
James Gregory,14732,"['The Manchurian Candidate', 'The Silencers', 'The Secret War of Harry Frigg', 'Captain Newman, M.D.', 'The Flight of Dragons', 'PT 109', 'Nightfall', 'The Main Event', ""Murderers' Row"", 'The Ambushers', 'Al Capone', 'Two Weeks in Another Town', 'The Sons of Katie Elder', 'A Distant Trumpet', 'The Big Caper', 'The Scarlet Hour', 'Shoot Out', 'A Rage to Live', 'Gun Glory', 'Quick Before It Melts', 'Twilight of Honor', 'The Weekend Nun', 'Hey Boy! Hey Girl!', 'Underwater Warrior', ""Wait 'Till Your Mother Gets Home"", 'X-15', 'Beneath the Planet of the Apes', 'Miracle on 34th Street', 'The Young Stranger', 'Clambake', 'Onionhead', 'Francis Gary Powers: The True Story of the U-2 Spy Incident', 'A Town Has Turned to Dust', 'The Late Liz', 'At This Moment']","[982, 21779, 32073, 33728, 27273, 27858, 34667, 42176, 36642, 36775, 43051, 62655, 16211, 69472, 83578, 74422, 79735, 104759, 145691, 146958, 138990, 252968, 242815, 258127, 273506, 40643, 1685, 252539, 112558, 26299, 118444, 412510, 353653, 465429, 475661]"
