Movie,count,guest_ids,guest_names,movie_id
Then Came Bronson,3,"[12424, 157282, 7074]","['Gene Dynarski', 'Bruce Mars', 'Peter Brocco']",188189
Enter Laughing,3,"[6451, 15744, 69763]","['Michael J. Pollard', 'David Opatoshu', 'Nancy Kovack']",42693
Omar Khayyam,3,"[135066, 12295, 24826]","['Abraham Sofaer', 'Perry Lopez', 'John Abbott']",210944
Childish Things,3,"[98241, 16016, 16031]","['Angelique Pettyjohn', 'David Brian', 'Logan Ramsey']",199311
Superman and the Mole-Men,3,"[102426, 15983, 9596]","['Billy Curtis', 'Beverly Washburn', 'Jeff Corey']",41800
The Cincinnati Kid,3,"[45252, 161405, 9596]","['Theo Marcuse', 'Ron Soble', 'Jeff Corey']",886
The Price of Fear,3,"[15978, 12310, 16126]","['Charles Drake', 'Warren Stevens', 'Phillip Pine']",51153
Ride Beyond Vengeance,3,"[8496, 1089676, 291]","['Paul Fix', 'Kathryn Hays', 'Frank Gorshin']",101308
Beyond Reason,3,"[41719, 16014, 16014]","['Biff Elliot', 'Diana Muldaur', 'Diana Muldaur']",210993
The Long Night,2,"[3339, 49939]","['Elisha Cook Jr.', 'Davis Roberts']",44626
Conflict,2,"[117771, 15978]","['John Harmon', 'Charles Drake']",26654
Earth II,2,"[246, 16131]","['Gary Lockwood', 'Mariette Hartley']",140354
The Magic Sword,2,"[246, 16086]","['Gary Lockwood', 'Liam Sullivan']",26643
He Rides Tall,2,"[127646, 161297]","['Madlyn Rhue', 'Tony Young']",211091
The Way West,2,"[153501, 165373]","['Hal Lynch', 'Michael Witney']",42703
Madame X,2,"[1793, 12310]","['Ricardo Montalban', 'Warren Stevens']",42723
Where Love Has Gone,2,"[13786, 16004]","['Whit Bissell', 'Anthony Caruso']",73348
Brewster McCloud,2,"[9805, 8499]","['Sally Kellerman', 'William Windom']",26525
Conspiracy of Terror,2,"[15707, 15744]","['Roger Perry', 'David Opatoshu']",140425
Bob & Carol & Ted & Alice,2,"[15954, 1214938]","['Celeste Yarnall', 'Lee Bergere']",26520
The Wild McCullochs,2,"[41719, 102426]","['Biff Elliot', 'Billy Curtis']",291861
The Phynx,2,"[16074, 13871]","['Michael Ansara', 'Lou Antonio']",139718
At Gunpoint,2,"[13786, 16017]","['Whit Bissell', 'Skip Homeier']",140062
The Frogmen,2,"[30551, 12310]","['Jeffrey Hunter', 'Warren Stevens']",44890
When Every Day Was the Fourth of July,2,"[15993, 1214934]","['Michael Pataki', 'Louise Sorel']",292529
Messenger of Death,2,"[15988, 9596]","['Charles Dierkop', 'Jeff Corey']",26172
Brave Warrior,2,"[1214919, 16074]","['Gil Perkins', 'Michael Ansara']",138140
Don't Be Afraid of the Dark,2,"[15655, 161255]","['Kim Darby', 'Barbara Anderson']",26015
Death of a Gunfighter,2,"[13869, 15744]","['Morgan Woodward', 'David Opatoshu']",74333
The Jazz Singer,2,"[15992, 15992]","['William Schallert', 'William Schallert']",216925
Papa's Delicate Condition,2,"[78692, 3339]","['Laurel Goodwin', 'Elisha Cook Jr.']",74088
Swashbuckler,2,"[1212973, 5695]","['Harry Basch', 'Sid Haig']",42242
The Devil Is Driving,2,"[3339, 2782]","['Elisha Cook Jr.', 'Ian Wolfe']",293442
Lost Continent,2,"[14508, 13786]","['John Hoyt', 'Whit Bissell']",44592
Fall Guy,2,"[3339, 117771]","['Elisha Cook Jr.', 'John Harmon']",44572
The Sea Hawk,2,"[101742, 13786]","['Leonard Mudie', 'Whit Bissell']",26201
The Stone Killer,2,"[15620, 151482]","['Alfred Ryder', 'Byron Morrow']",26202
The Flying Misfits,2,"[151482, 16119]","['Byron Morrow', 'Charles Napier']",292810
Dawn at Socorro,2,"[16017, 16016]","['Skip Homeier', 'David Brian']",138949
Evil Town,2,"[15626, 16055]","['Robert Walker, Jr.', 'Richard Hale']",200639
The Outfit,2,"[3339, 12298]","['Elisha Cook Jr.', 'Roy Jenson']",26762
The Last Porno Flick,2,"[15659, 15993]","['Marianna Hill', 'Michael Pataki']",140645
Bail Out,2,"[15995, 82507]","['Charlie Brill', 'Dick Durock']",42392
Getting Straight,2,"[15721, 9596]","['Jon Lormer', 'Jeff Corey']",42588
The Last Child,2,"[15746, 151529]","['Barbara Babcock', 'Jason Wingreen']",219398
They Call It Murder,2,"[15993, 14069]","['Michael Pataki', 'Vic Tayback']",282658
PT 109,2,"[14732, 41719]","['James Gregory', 'Biff Elliot']",27858
Winterhawk,2,"[3339, 15975]","['Elisha Cook Jr.', 'Michael Dante']",143516
Red Skies of Montana,2,"[30551, 12310]","['Jeffrey Hunter', 'Warren Stevens']",143523
Sweet Charity,2,"[1793, 16021]","['Ricardo Montalban', 'Barbara Bouchet']",42618
Inside Straight,2,"[14508, 16016]","['John Hoyt', 'David Brian']",220077
Here Comes the Groom,2,"[15983, 2782]","['Beverly Washburn', 'Ian Wolfe']",27629
The Cartier Affair,2,"[13637, 16119]","['Joan Collins', 'Charles Napier']",281563
Lonely Heart Bandits,2,"[15693, 15992]","['John Crawford', 'William Schallert']",201590
Riot in Cell Block 11,2,"[15992, 13786]","['William Schallert', 'Whit Bissell']",28023
Timberjack,2,"[3339, 16016]","['Elisha Cook Jr.', 'David Brian']",281469
This Is a Hijack,2,"[39770, 16097]","['Adam Roarke', 'Jay Robinson']",281249
The Fortune,2,"[5247, 2782]","['John Fiedler', 'Ian Wolfe']",70259
Ride Lonesome,2,"[15644, 12298]","['Karen Steele', 'Roy Jenson']",27644
Dangerously They Live,2,"[117771, 15978]","['John Harmon', 'Charles Drake']",71433
The Baby,2,"[15659, 15993]","['Marianna Hill', 'Michael Pataki']",28156
The Savage Seven,2,"[39770, 15626]","['Adam Roarke', 'Robert Walker, Jr.']",42650
The Message,2,"[1007561, 16074]","['Michael Forest', 'Michael Ansara']",26842
The Incredible Hulk Returns,2,"[50974, 16119]","['John Gabriel', 'Charles Napier']",26881
The Mystic Warrior,2,"[100418, 161405]","['Ned Romero', 'Ron Soble']",288617
The St. Valentine's Day Massacre,2,"[15942, 15988]","['Celia Lovsky', 'Charles Dierkop']",42702
Day of the Evil Gun,2,"[8496, 15746]","['Paul Fix', 'Barbara Babcock']",27105
Foreign Correspondent,2,"[101742, 2782]","['Leonard Mudie', 'Ian Wolfe']",25670
The Return of Frank Cannon,2,"[16014, 16030]","['Diana Muldaur', 'William Smithers']",202973
Flamingo Road,2,"[4076, 16016]","['Morgan Farley', 'David Brian']",27563
Mail Order Bride,2,"[8496, 15950]","['Paul Fix', 'BarBara Luna']",202941
In Love and War,2,"[30551, 16096]","['Jeffrey Hunter', 'France Nuyen']",142339
A Life at Stake,2,"[15953, 34014]","['Keith Andes', 'Charles Maxwell']",72242
Winnie the Pooh and Tigger Too,2,"[15661, 5247]","['Clint Howard', 'John Fiedler']",72185
House on Greenapple Road,2,"[8499, 16051]","['William Windom', 'Joanne Linville']",284434
Assault on the Wayne,2,"[127601, 8499]","['Lloyd Haynes', 'William Windom']",142912
The Gangster,2,"[3339, 9596]","['Elisha Cook Jr.', 'Jeff Corey']",25735
The Desert Hawk,2,"[16055, 16074]","['Richard Hale', 'Michael Ansara']",184202
The Star Wars Holiday Special,2,"[1472601, 16000]","['Lev Mailer', 'Mickey Morton']",74849
Anna Lucasta,2,"[13786, 16004]","['Whit Bissell', 'Anthony Caruso']",209179
They Won't Forget,2,"[101742, 3339]","['Leonard Mudie', 'Elisha Cook Jr.']",80639
The Outsider - Il Cinema Di Antonio Margheriti,2,"[16021, 9811]","['Barbara Bouchet', 'Fred Williamson']",336151
Somewhere in the Night,2,"[13786, 9596]","['Whit Bissell', 'Jeff Corey']",20000
Three Daring Daughters,2,"[1209, 2782]","['Elinor Donahue', 'Ian Wolfe']",128309
Paint Your Wagon,2,"[15969, 12298]","[""William O'Connell"", 'Roy Jenson']",20391
